id,ENG,HIN
471,A N E E S H,अ न ी श
472,B A D H T I _ K A _ N A A M _ D A D H I,ब ढ ़ त ी _ क ा _ न ा म _ द ा ढ ़ ी
473,P H A G U N,फ ा ग ु न
474,S A N A T,स न त
475,G U R U D W A R A _ C H A M K A U R _ S A H I B,ग ु र ू द ् व ा र ा _ च म क ौ र _ स ा ह ि ब
476,G A U R A A,ग ौ र ा
477,P Y A S I _ A T M A,प ् य ा स ी _ आ त ् म ा
478,C O B A L T,क ो ब ा ल ् ट
479,S U R _ G A A Y A K,स ु र _ ग ा य क
480,A A C H A R Y A S U T A,आ च ा र ् य स ु त ा
481,A S N O T I,अ स ् न ो त ी
482,B H A R T I _ A I R,भ ा र त ी _ ए य र
483,I N D I K A _ D E _ S A R A M,इ ं ड ि क ा _ ड े _ स ा र म
484,M A N I R A M,म ण ि र ा म
485,D I R K _ W E L L H A M,ड र ् क _ व े ल ् ह ै म
486,V I S H V A K A R M A A,व ि श ् व क र ् म ा
487,B U R A J,ब ु र ज
488,S H R I N I V A S,श ् र ी न ि व ा स
489,C A L A M I T Y _ J A N E,क ै ल ॅ म ि ट ी _ ज े न
490,S Y N C H R O N I S E D _ S W I M M I N G,स ि ं क ् र ो न ा इ ज़ ् ड _ स ् व ि म ि ं ग
491,M A N A _ P O O L S,म ा न ा _ प ू ल ् स
492,Z E N I A,ज़ े न ि य ा
493,B R O W N,ब ् र ा उ न
494,A K L I A,अ क ल ि य ा
495,P R A T O S H,प ् र त ो श
496,C I N D Y,स ि ं ड ी
497,T A L H A H,त ल ह ा ह
498,S H R I R A M _ T R A N S F I,श ् र ी र ा म _ ट ् र ा ं स फ ़ ी
499,A R I N D A M,अ र ि ं द म
500,S H A H _ E _ M I S A R,श ा ह _ ए _ म ि स र
501,E G Y P T,इ ज ि प ् त
502,F A I Z A H,फ ै ज़ ा ह
503,W I M B O R N,व ि म ् ब ॉ र ् न
504,T H E _ A U S T R A L I A N / V O G E L _ L I T E R A R Y _ A W A R D,द _ ऑ स ् ट ् र े ल ि य न / व ो ग े ल _ ल ि ट ् र े र ी _ अ व ा र ् ड
505,G U A L T I E R,ग ॉ ल ् ट ि य र
506,S Y E D _ F A Z L _ K A R E E M _ Q U A D R I,स य ् य द _ फ ज ़ ् ल _ क र ी म _ क़ ा द र ी
507,C H E K O V,च े क ॉ व
508,B A L U R A N,ब ा ल ु र ा न
509,F O R T _ B R I D G E R,फ ो र ् ट _ ब ् र ि ज र
510,K H A N J A R,ख ं ज र
511,P O L I C E,प ु ल ि स
512,S H U R A Y H,श ु र ा य ह
513,S U P E R _ B O W L,स ु प र _ ब ा उ ल
514,M A L L A H,म ल ् ल ा ह
515,L A Z A R,ल ै ज़ र
516,B O M B O,ब ॉ म ् ब ो
517,A R T H U R,आ र ् थ र
518,M E R L I N _ K V I L L E,म र ् ल ि न _ क ् व ी ल े
519,G U N T H E R,ग ु ं थ र
520,S E R A F I N A,स े र ा फ ि न ा
521,N I A G A R A,न ा य ग ् र ा
522,E D A N A,ए ड न ा
523,A B D U L _ R A Q I B,अ ब ् द ु ल _ र क ी ब
524,L I L Y,ल ि ल ी
525,R O S S _ S E A,र ॉ स _ स ी
526,S H R I,श ् र ी
527,T A T A _ C O F F E E,ट ा ट ा _ क ॉ फ ़ ी
528,N A V I O S _ M A R I T I M E _ H O L D I N G S,न ै व ि य ो ज ़ _ म ै र ी ट ा इ म _ ह ो ल ् ड ि ं ग ् स
529,F O R D O N,फ ो र ् ड न
530,S U H A Y R,स ु ह े र
531,D O N N I C A,ड ो न ि क ा
532,E V E R S,इ व र ् स
533,T H O M A S _ H O B B S,ट ॉ म स _ ह ॉ ब ् स
534,H U S A M,ह ु स म
535,R A A N,र ा न
536,R I A N N A,र ि य ा न ् न ा
537,T A A N,त ा न
538,M A N Z I L _ M A N Z I L,म ं ज ़ ि ल _ म ं ज ़ ि ल
539,D A R T M O U T H _ F O R T,ड ा र ् ट म ा उ थ _ फ ो र ् ट
540,J A A N,ज ा न
541,J A H D A M A H,ज ह द म ा ह
542,S U S M I T A,स ु स ् म ि त ा
543,T E L U G U,त े ल ु ग ू
544,T E I G R A,ट ी ग ् र ा
545,D I L _ A K H I R _ D I L _ H A I,द ि ल _ आ ख ि र _ द ि ल _ ह ै
546,Y U Y U T S U,य ु य ु त ् स ु
547,A A B H A A,आ भ ा
548,B A R A M U A,ब ा र ा म ु आ
549,H A T I M T A I,ह ा त ि म त ा ई
550,J O H N _ J A N I _ J A N A R D A N,ज ॉ न _ ज ा न ी _ ज न ा र ् द न
551,B A S S _ S T R A I T,ब ा स _ स ् ट ् र े ट
552,R A T N A M A L A,र त ् न म ा ल ा
553,A S H R A F _ A L I,अ श र फ _ अ ल ी
554,P I T T S B U R G _ C H U R C H _ O F _ C H R I S T,प ि ट ् स ब र ् ग _ च र ् च _ ऑ फ _ क ् र ा इ स ् ट
555,M U S T A J A B,म ु स ् त ज ा ब
556,A B D U L _ W A J E E D,अ ब ् द ु ल _ व ज ी द
557,S Y D N E Y,स ि ड न ी
558,G I R I D H A R I,ग ि र ि ध ा र ी
559,B A G H I _ H A S E E N A,ब ा ग ी _ ह स ी न ा
560,A K A A R,आ क ा र
561,A A K H R I _ K A S A M,आ ख ि र ी _ क स म
562,M A T H U R A,म थ ु र ा
563,S A N D U R I,स ं द ू र ी
564,V I A R E G G I O _ P R I Z E,व ा य र े ग ि य ो _ प ् र ा इ ज़
565,A P M A A N,अ प म ा न
566,J A I _ J A W A N _ J A I _ K I S A N,ज य _ ज व ा न _ ज य _ क ि स ा न
567,A T I F A,अ त ी फ ा
568,D A S H I E L L,ड ै श ी ल
569,G U L F A M,ग ु ल फ ा म
570,I N K A A R,इ ं क ा र
571,J O H N S O N,ज ॉ न स न
572,A V A N I N D E R,अ व न ि ं द र
573,S H I V S A G A R,श ि व स ा ग र
574,R A S E E M,र स ी म
575,V I V E K,व ि व े क
576,C O L U M B I A _ R I V E R,क ो ल ं ब ि य ा _ र ि व र
577,G A G A N,ग ग न
578,K R I S H N A,क ृ ष ् ण
579,K R I S H N A,क ृ ष ् ण ा
580,K R I S H N A,क ृ ष ् ण ा ं ग
581,A B H A Y A P R A D,अ भ य प ् र द
582,W A F I,व ा फ ी
583,N I R A V,न ी र व
584,R O O K I E _ O F _ T H E _ Y E A R _ A W A R D,र ू क ी _ ऑ फ _ द _ ई य र _ अ व ा र ् ड
585,G L A X O S M I T H K L I N E,ग ् ल ै क ् स ो स ् म ि थ क ् ल ा इ न
586,M E D A L _ O F _ N E S T E R O V,म े ड ल _ ऑ फ _ न े स ् ट े र ो व
587,P Y A S I _ N A D I,प ् य ा स ी _ न द ी
588,S T E V E _ R H O D E S,स ् ट ी व _ र ो ड ् ‍ स
589,M A N N _ C U P,म ा न _ क प
590,J A S O O S,ज ा स ू स
591,F A R I D,फ र ी द
592,S A I N T _ L O U I S,स े ं ट _ ल ु इ स
593,M A N I N D R A,म ण ि ं द ् र
594,D E R M A T O L O G Y,ड र ् म ा ट ो ल ॉ ज ी
595,S T U A R T _ M A T S I K E N Y E R I,स ् ट ु अ र ् ट _ म ै ट स ि क े न ् य े र ी
596,F A U L A D I _ M U K K A,फ ौ ल ा द ी _ म ु क ् क ा
597,G H U F A Y R A H,ग ़ ु फ य र ा ह
598,F I A,फ ि य ा
599,V A I S H N O _ D E V I,व ै ष ् ण ो _ द े व ी
600,A A R A T I,आ र त ी
601,S A I B,स ै ब
602,C L E B U R N E,क ् ल े ब र ् न
603,D H I R A J,ध ी र ज
604,C O B R A,क ो ब र ा
605,C O I M B A T O R E _ N O R T H _ J U N C T I O N,क ो इ म ् ब ट ू र _ न ॉ र ् थ _ ज ं क ् श न
606,A I G H A R,ऐ ग र
607,A N W E S H A,अ न ् व े श ा
608,L U N G L E I,ल ु ं ग ल े ई
609,D H A N D H U K A,ध ं ध ु क ा
610,W A H I D U L _ G A N I,व ह ी द ु ल _ ग ा न ी
611,L A D I E S _ O N L Y,ल े ड ी ज ़ _ ओ न ल ी
612,E K _ T H I _ L A D K I,ए क _ थ ी _ ल ड़ क ी
613,S A J I V _ M U R T I,स ज ी व _ म ू र ् त ि
614,P R A Y A G,प ् र य ा ग
615,B A L A W A N T,ब ल व ं त
616,U R A,उ र ा
617,I N D R A D U T T,इ ं द ् र द त ् त
618,T O R R E N T _ G R O U P,ट ॉ र े ं ट _ ग ् र ु प
619,O R A N G E _ P R I Z E _ F O R _ F I C T I O N,ऑ र े ं ज _ प ् र ा इ ज़ _ फ ॉ र _ फ ि क ् श न
620,T E R I _ M A N G _ S I T A R O N _ S E _ B H A R _ D O O N,त े र ी _ म ा ँ ग _ स ि त ा र ो ं _ स े _ भ र _ द ू ँ
621,A R N I E,ए र ् न ी
622,N A T I O N A L _ M U S E U M _ O F _ C H I N A,न े श न ल _ म ् य ु ज़ ि य म _ ऑ फ _ च ा इ न ा
623,W I N D H A M _ C O U N T Y _ H I S T O R I C A L _ M U S E U M,व ‍ ि ं ड ह ै म _ क ा उ ं ट ‍ ी _ ह ‍ ि स ् ट ॉ र ‍ ि क ल _ म ् य ु ज़ ि य म
624,E N A K S H I,ई न ा क ् ष ी
625,A R A,आ र ा
626,D A D R I,द ा द र ी
627,B A H E R I,ब ह े र ी
628,C A R A D O C,क ा र ड ो क
629,D E V A R S I,द े व र ् ष ि
630,B U R N P U R,ब र ् न प ु र
631,G H A M A N D,घ म ं ड
632,K H O O N _ B H A _ G A N G A _ M E I N,ख ू न _ ब ह ा _ ग ं ग ा _ म े ं
633,Z A H I D _ S A E E D,ज़ ा ह ि द _ स ई द
634,M A T T _ P R I O R,म ै ट _ प ् र ा य र
635,L A U D,ल ा उ ड
636,C H R I S _ K U G G E L E I J N,क ् र ि स _ क ग ल े ज ि न
637,C L E A V O N,क ् ल ी व न
638,S A C H,स च
639,L I N D O R M E N,ल ि ं ड र म े न
640,D A R P A D,द र ् प द
641,J E N I B E L L E,ज े न ि ब े ल
642,A A K R O S H,आ क ् र ो श
643,U N I V E R S I T Y _ O F _ A L A S K A,य ू न ि व र ् स ि ट ी _ ऑ फ _ अ ल ा स ् क ा
644,D U D L E Y,ड ु ड ल ी
645,S A N J A Y _ R A U L,स ं ज य _ र ा उ ल
646,G R E G _ B L E W E T T,ग ् र े ग _ ब ् ल े व े ट
647,D A W O O D,द ा व ू द
648,E K _ A U R _ K H O O N,ए क _ औ र _ ख ू न
649,W A T E R T O N _ L A K E S,व ॉ ट र ट ॉ न _ स र ो व र
650,B H A N D A P E,भ ा ं ड प े
651,F I L L E R,फ ि ल र
652,R O B E R T _ W A G N E R,र ॉ ब र ् ट _ व ॅ ग न र
653,M I S S O U L A,म ि स ौ ल ा
654,A T U L Y A,अ त ु ल ् य
655,H A A R _ J E E T,ह ा र _ ज ी त
656,A K A L M A S H,अ क ल ् म श
657,U N I V E R S I T Y _ O F _ G L A S G O W,य ू न ि व र ् स ि ट ी _ ऑ फ _ ग ् ल ै स ग ो
658,D W I G H T,ड ् व ा इ ट
659,S A T V I N D E R,स त व ि ं द र
660,D A K U _ B H U P A T,ड ा क ू _ भ ू प ट
661,C A T R I N,क ै ट र ी न
662,B I J A U L I,ब ि ज ौ ल ी
663,D E N N I S _ L I L L E E,ड े न ि स _ ल ि ल ी
664,C A R N I V A L _ Q U E E N,क ा र ् न ि व ल _ क ् व ी न
665,B H A D A U R A,भ द ौ र ा
666,C H A R L E S _ D A R W I N,च ा र ् ल ् स _ ड ा र ् व ि न
667,W O R T H,व ॉ र ् थ
668,S A A T V I K,स ा त ् व ि क
669,N A Z I R,न ज़ ी र
670,A L O Y S I U S,अ ल ो य स ि य स
671,H A T Y A R A,ह त ् य ा र ा
672,A A K H R I _ N I S H C H A Y,आ ख ि र ी _ न ि श ् च य
673,S H A M B H U _ M A H A R A J,श ं भ ू _ म ह ा र ा ज
674,M A N O R A M A,म न ो र म ा
675,S U S I T A,स ु स ि त ा
676,M A A _ K A _ P Y A R,म ा ँ _ क ा _ प ् य ा र
677,P L A Z A _ 6 6,प ् ल ा ज ़ ा _ 6 6
678,S A W A N _ A Y A _ R E,स ा व न _ आ य ा _ र े
679,A D V A K I,अ द ् ‍ व ा क ी
680,P A R I S,प े र ि स
681,G A R R E T,ग ै र े ट
682,D A R I E N _ W A R,ड ै र ि य न _ व ा र
683,A R K _ R O Y A L,आ र ् क _ र ॉ य ल
684,A P N E _ P A R A Y E,अ प न े _ प र ा ए
685,H E R A,ह ी र ा
686,Z A H R E E L A Y,ज ़ ह र ी ल े
687,M U L T A N I,म ु ल ् त ा न ी
688,V A N O I S E,व ै न ॉ इ स
689,A J E E _ B U S _ S H U K R I Y A,अ ज ी _ ब स _ श ु क ् र ि य ा
690,K A H A N I _ E K _ C H O R _ K I,क ह ा न ी _ ए क _ च ो र _ क ी
691,B A L A J I,ब ा ल ा ज ी
692,P R A S A N N J I T,प ् र स न ् न ज ि त
693,J A M E S _ C O O K _ U N I V E R S I T Y,ज े म ् स _ क ु क _ य ू न ि व र ् स ि ट ी
694,U K H R U L,उ ख र ु ल
695,A M B A L A,अ ं ब ा ल ा
696,A O N _ C E N T R E,ए ऑ न _ स े न ् ट र
697,H E M I S _ G O M P A,ह े म ी स _ ग ो म ् प ा
698,L U C R E C E,ल ् य ू क ् र े स
699,L E V,ल े व
700,A N J A A M,अ ं ज ा म
701,S T E F A N,स ् ट ी फ न
702,R A J G A R H,र ा ज ग ढ ़
703,B A C A R D I - M A R T I N I _ I N D I A,ब ै क ा र ् ड ी _ म ा र ् ट ि न ी _ इ ं ड ि य ा
704,S H A M A,श म ा
705,S U P A R N A K,स ु प र ् ण क
706,M A H I N D R A _ G E S C O _ D E V E L O P E R S,म ह ि ं द ् र ा _ ग े स ् क ो _ ड े व ल प र ् स
707,M I N O O _ M A S A N I,म ी न ू _ म स ा न ी
708,W A L T Z,व ा ल ् ट ् ज
709,S U N A Y A N I,स ु न य न ी
710,G H A Z A L,ग ़ ज़ ल
711,G H A Z A L,ग ज़ ल
712,G L O R I A _ S T E I N E M,ग ् ल ो र ि य ा _ स ् ट े न म
713,F O O L A N,फ ू ल न
714,J A A L I _ N O T E,ज ा ल ी _ न ो ट
715,S U R J O T,स ु र ज ो त
716,U M A Y Y A H,उ म य ् य ा ह
717,M A I N _ B H I _ L A D K I _ H O O N,म ै ं _ भ ी _ ल ड़ क ी _ ह ू ँ
718,Z A I R A H,ज़ ै र ा ह
719,E N G I N E E R S I N D,इ ं ज ी न ि य र ् स इ ं ड
720,R A M N A T H,र ा म न ा थ
721,S A D E E P A N,स द ी प न
722,O R D E R _ O F _ M I L I T A R Y _ M E R I T,ऑ ड र _ ऑ फ _ म ि ल ि ट ् र ी _ म े र ि ट
723,I N S A A F _ K I _ A W A Z,इ ं स ा फ _ क ी _ आ व ा ज ़
724,S A N A T A N,स न ा त न
725,S H A H E E D,श ह ी द
726,V I S H R A M,व ि श ् र ा म
727,A N G A A R A,अ ं ग ा र ा
728,B H A M I N I,भ ा म ि न ी
729,T A N T A L U M,ट ै ं ट ल म
730,T I L L I E,ट ि ल ी
731,K A R M A R K A R,क र म र क र
732,C H A N D R A N A T H,च ं द ् र न ा थ
733,P I G G O T T,प ि ग ो ट
734,H E I N E K E N,ह े ं क े न
735,G U R P R E E T,ग ु र प ् र ी त
736,U N I V E R S I T Y _ C O L L E G E _ L O N D O N,य ू न ि व र ् स ि ट ी _ क ॉ ल े ज _ ल ं ड न
737,D O N A K O N D A,ड ो न ा क ो ं ड ा
738,S H U B H R A A N S H U,श ु भ ् र ा ं श ु
739,J A C O B _ O R A M,ज े क ब _ ऑ र म
740,V I D O R,व ि ड ो र
741,G E O F F _ M I L L E R,ज ि ऑ फ _ म ि ल र
742,L A W R E N C I A,ल ॉ र े ं स ि य ा
743,A C A C I A,ए क े स ि य ा
744,H A M I D,ह म ी द
745,H A M I D,ह ा म ि द
746,J U A Y L,ज ु आ य ल
747,P H A D A T A R E,फ ड त र े
748,E M M Y,ए म ी
749,G U J A R A T _ S A M A C H A R,ग ु ज र ा त _ स म ा च ा र
750,S H A B R I,श ब र ी
751,B H A A L A C H A N _ D R,भ ा ल च न ् द ् र
752,M U S T A E E N,म ु स ् त ई न
753,S I R M I L I K,स ि र म ि ल ि क
754,I Q B A L _ S I K A N D E R,इ क ब ा ल _ स ि क न ् द र
755,F O R T _ G A I N E S,फ ो र ् ट _ ग े न ् स
756,S U M M E R S I D E _ U N I T E D _ M E T H O D I S T,स म र स ा इ ड _ य ू न ा इ ट े ड _ म े थ ो ड ि स ् ट
757,M I C H A E L _ D R A Y T O N,म ा इ क ल _ ड ् र ा इ ट न
758,M A R D _ K I _ Z A B A A N,म र ् द _ क ी _ ज ़ ब ा न
759,D A N A E,ड े न ी
760,T A P A N,त प न
761,B I C K L E,ब ि क ल
762,L A V E R N E,ल ै व न न
763,L A K S H Y A,ल क ् ष ् य
764,L A K S H Y A,ल क ् ष ् य ा
765,A S H O K _ M A L H O T R A,अ श ो क _ म ल ् ह ो त ् र ा
766,N A T I O N A L _ O R D E R _ O F _ Q U E B E C,न े श न ल _ ऑ र ् ड र _ ऑ फ _ क ् य ू ब े क
767,D O U G L A S _ H O N D O,ड ग ् ल स _ ह ो ं ड ो
768,S H A F I U D D I N _ A H M E D,श फ ी उ द ् द ी न _ अ ह म द
